"Source:","C:\Users\Koishiable\Desktop\Ace\PCB Works\BKL2x\BKL2x.sch"
"Date:","10/07/2024 23:39:36"
"Tool:","Eeschema (5.1.12)-1"
"Component Count:","21"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C3","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C4","15pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C5","15pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C6","1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C7","5pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C8","5pF","Capacitor_SMD:C_0402_1005Metric","~","",""
"D1","SS34B","Diode_SMD:D_SMB","~","",""
"D2","SS34B","Diode_SMD:D_SMB","~","",""
"J1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","",""
"R1","5.1k","Resistor_SMD:R_0402_1005Metric","~","",""
"R2","5.1k","Resistor_SMD:R_0402_1005Metric","~","",""
"R3","22R","Resistor_SMD:R_0402_1005Metric","~","",""
"R4","22R","Resistor_SMD:R_0402_1005Metric","~","",""
"R5","1M","Resistor_SMD:R_0402_1005Metric","~","",""
"R6","10k","Resistor_SMD:R_0402_1005Metric","~","",""
"SW1","KC_Z","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~","",""
"SW2","KC_X","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~","",""
"U1","ATmega32U4-MU","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","",""
"Y1","8MHz","Crystal:Crystal_SMD_HC49-SD","~","",""
